verified,id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_en,description_fr,type,background,foreground,border
false,greece:period-minoan,greece,-2700,-1200,Civilisation minoenne,Minoan civilization,https://fr.wikipedia.org/wiki/Civilisation_minoenne,https://en.wikipedia.org/wiki/Minoan_civilization,,,,oklch(91.2% 0.038 240),,
true,greece:period-mycenaean,greece,-1650,-1100,Civilisation mycénienne,Mycenaean Greece,https://fr.wikipedia.org/wiki/Civilisation_myc%C3%A9nienne,https://en.wikipedia.org/wiki/Mycenaean_Greece,,,,oklch(89.5% 0.044 236),,
true,greece:period-greek-dark-ages,greece,-1200,-800,Âges obscurs,Greek Dark Ages,https://fr.wikipedia.org/wiki/Âges_obscurs,https://en.wikipedia.org/wiki/Greek_Dark_Ages,,,,oklch(87.8% 0.05 232),,
false,greece:period-archaic,greece,-800,-480,Époque archaïque,Archaic Greece,https://fr.wikipedia.org/wiki/Gr%C3%A8ce_archa%C3%AFque,https://en.wikipedia.org/wiki/Archaic_Greece,,,,oklch(86% 0.056 228),,
false,greece:period-classical,greece,-480,-323,Époque classique,Classical Greece,https://fr.wikipedia.org/wiki/Gr%C3%A8ce_classique,https://en.wikipedia.org/wiki/Classical_Greece,,,,oklch(84.2% 0.062 224),,
true,greece:period-hellenistic,greece,-323,-30,Époque hellénistique,Hellenistic period,https://fr.wikipedia.org/wiki/Époque_hellénistique,https://en.wikipedia.org/wiki/Hellenistic_period,,,,oklch(82.4% 0.068 220),,
true,greece:period-roman,greece,-146,395,Grèce romaine,Roman Greece,https://fr.wikipedia.org/wiki/Gr%C3%A8ce_romaine,https://en.wikipedia.org/wiki/Roman_Greece,,,,oklch(80.7% 0.074 216),,
true,greece:war-greco-persian,greece-wars,-499,-449,Guerres médiques,Greco-Persian Wars,https://fr.wikipedia.org/wiki/Guerres_médiques,https://en.wikipedia.org/wiki/Greco-Persian_Wars,,,,oklch(76.8% 0.064 20),,
true,greece:battle-marathon,greece-wars,-490,,Bataille de Marathon,Battle of Marathon,https://fr.wikipedia.org/wiki/Bataille_de_Marathon,https://en.wikipedia.org/wiki/Battle_of_Marathon,,,point,oklch(98.7% 0.026 102.212),,
true,greece:battle-thermopylae,greece-wars,-480,,Bataille des Thermopyles,Battle of Thermopylae,https://fr.wikipedia.org/wiki/Bataille_des_Thermopyles,https://en.wikipedia.org/wiki/Battle_of_Thermopylae,,,point,oklch(98.7% 0.026 102.212),,
true,greece:battle-salamis,greece-wars,-480,,Bataille de Salamine,Battle of Salamis,https://fr.wikipedia.org/wiki/Bataille_de_Salamine,https://en.wikipedia.org/wiki/Battle_of_Salamis,,,point,oklch(98.7% 0.026 102.212),,
true,greece:battle-plataea,greece-wars,-479,,Bataille de Platées,Battle of Plataea,https://fr.wikipedia.org/wiki/Bataille_de_Platées,https://en.wikipedia.org/wiki/Battle_of_Plataea,,,point,oklch(98.7% 0.026 102.212),,
true,greece:war-peloponnesian,greece-wars,-431,-404,Guerre du Péloponnèse,Peloponnesian War,https://fr.wikipedia.org/wiki/Guerre_du_Péloponnèse,https://en.wikipedia.org/wiki/Peloponnesian_War,,,,oklch(74.5% 0.068 16),,
true,greece:battle-syracuse,greece-wars,-415,-413,Expédition de Sicile (Syracuse),Sicilian Expedition,https://fr.wikipedia.org/wiki/Expédition_de_Sicile,https://en.wikipedia.org/wiki/Sicilian_Expedition,,,point,oklch(98.7% 0.026 102.212),,
true,greece:battle-aegospotami,greece-wars,-405,,Bataille d'Aigos Potamos,Battle of Aegospotami,https://fr.wikipedia.org/wiki/Bataille_d%27Aigos_Potamos,https://en.wikipedia.org/wiki/Battle_of_Aegospotami,,,point,oklch(98.7% 0.026 102.212),,
true,greece:war-corinthian,greece-wars,-395,-387,Guerre de Corinthe,Corinthian War,https://fr.wikipedia.org/wiki/Guerre_de_Corinthe,https://en.wikipedia.org/wiki/Corinthian_War,,,,oklch(72.4% 0.073 12),,
true,greece:war-lamian,greece-wars,-323,-322,Guerre lamiaque,Lamian War,https://fr.wikipedia.org/wiki/Guerre_lamiaque,https://en.wikipedia.org/wiki/Lamian_War,,,,oklch(70.6% 0.077 8),,
true,greece:battle-chaeronea,greece-wars,-338,,Bataille de Chéronée,Battle of Chaeronea (338 BC),https://fr.wikipedia.org/wiki/Bataille_de_Chéronée_(338_av._J.-C.),https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),,,point,oklch(98.7% 0.026 102.212),,
true,greece:polity-athens,greece-city-states,-800,-322,Athènes,Athens,https://fr.wikipedia.org/wiki/Athènes,https://en.wikipedia.org/wiki/Athens,,,,oklch(78% 0.12 140),,
true,greece:polity-sparta,greece-city-states,-900,-192,Sparte,Sparta,https://fr.wikipedia.org/wiki/Sparte,https://en.wikipedia.org/wiki/Sparta,,,,oklch(76% 0.12 140),,
true,greece:polity-thebes,greece-city-states,,-335,Thèbes,Thebes,https://fr.wikipedia.org/wiki/Thèbes_(Grèce),"https://en.wikipedia.org/wiki/Thebes,_Greece",_Greece,,,oklch(74% 0.12 140),,
true,greece:polity-corinth,greece-city-states,-700,-146,Corinthe,Corinth,https://fr.wikipedia.org/wiki/Corinthe,https://en.wikipedia.org/wiki/Corinth,,,,oklch(72% 0.12 140),,
true,greece:polity-syracuse,greece-city-states,-734,-212,Syracuse,Syracuse,https://fr.wikipedia.org/wiki/Syracuse,"https://en.wikipedia.org/wiki/Syracuse,_Sicily",_Sicily,,,oklch(70% 0.12 140),,
true,greece:league-delian,greece-city-states,-478,-404,Ligue de Délos,Delian League,https://fr.wikipedia.org/wiki/Ligue_de_Délos,https://en.wikipedia.org/wiki/Delian_League,,,,oklch(68% 0.12 140),,
true,greece:league-peloponnesian,greece-city-states,-550,-362,Ligue du Péloponnèse,Peloponnesian League,https://fr.wikipedia.org/wiki/Ligue_du_Péloponnèse,https://en.wikipedia.org/wiki/Peloponnesian_League,,,,oklch(66% 0.12 140),,
true,greece:league-achaean,greece-city-states,-280,-146,Ligue achéenne,Achaean League,https://fr.wikipedia.org/wiki/Ligue_achéenne,https://en.wikipedia.org/wiki/Achaean_League,,,,oklch(64% 0.12 140),,
true,greece:monument-parthenon,greece-monuments,-447,-432,Parthénon,Parthenon,https://fr.wikipedia.org/wiki/Parthénon,https://en.wikipedia.org/wiki/Parthenon,,,,oklch(80% 0.12 90),,
false,greece:monument-temple-of-zeus-olympia,greece-monuments,-470,-457,Temple de Zeus (Olympie),Temple of Zeus at Olympia,https://fr.wikipedia.org/wiki/Temple_de_Zeus_%C3%A0_Olympie,"https://en.wikipedia.org/wiki/Temple_of_Zeus,_Olympia",_Olympia,,,oklch(76% 0.12 90),,
true,greece:monument-sanctuary-of-delphi,greece-monuments,-800,-330,Sanctuaire de Delphes,Delphi,https://fr.wikipedia.org/wiki/Delphes,https://en.wikipedia.org/wiki/Delphi,,,,oklch(74% 0.12 90),,
true,greece:monument-theatre-epidaurus,greece-monuments,-340,-330,Théâtre d'Épidaure,Ancient Theatre of Epidaurus,https://fr.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_d%27%C3%89pidaure,https://en.wikipedia.org/wiki/Ancient_Theatre_of_Epidaurus,,,,oklch(72% 0.12 90),,
true,greece:person-homer,greece-people,-800,-701,Homère,Homer,https://fr.wikipedia.org/wiki/Homère,https://en.wikipedia.org/wiki/Homer,,,,oklch(76.8% 0.064 280),,
true,greece:person-solon,greece-people,-630,-560,Solon,Solon,https://fr.wikipedia.org/wiki/Solon,https://en.wikipedia.org/wiki/Solon,,,,oklch(74.5% 0.068 276),,
false,greece:person-leonidas,greece-people,-540,-480,Léonidas Ier,Leonidas I,https://fr.wikipedia.org/wiki/Léonidas_Ier,https://en.wikipedia.org/wiki/Leonidas_I,,,,oklch(72.4% 0.073 272),,
false,greece:person-pericles,greece-people,-495,-429,Périclès,Pericles,https://fr.wikipedia.org/wiki/Périclès,https://en.wikipedia.org/wiki/Pericles,,,,oklch(70.6% 0.077 268),,
false,greece:person-herodotus,greece-people,-484,-425,Hérodote,Herodotus,https://fr.wikipedia.org/wiki/Hérodote,https://en.wikipedia.org/wiki/Herodotus,,,,oklch(68.6% 0.081 264),,
false,greece:person-sophocles,greece-people,-496,-406,Sophocle,Sophocles,https://fr.wikipedia.org/wiki/Sophocle,https://en.wikipedia.org/wiki/Sophocles,,,,oklch(66.9% 0.085 260),,
false,greece:person-euripides,greece-people,-480,-406,Euripide,Euripides,https://fr.wikipedia.org/wiki/Euripide,https://en.wikipedia.org/wiki/Euripides,,,,oklch(65.3% 0.089 256),,
